Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
203333,Airplane,PEASE INTL TRADEPORT,< 1000 ft,C-172,2 to 10,3,Precautionary Landing,2000-05-30,Caused damage,1,PRIVATELY OWNED,New Hampshire,Climb,,False,False,BLACKBIRDS OR CROWS. 2 SLIGHT DENTS I BOTTOM SURFACE OF WING JUST OTBD OF STRUT. BIRD ID BY WS BIOL,Medium,Some Cloud,American crow,Y,0,1000.0,0,No
205305,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,MD-88,2 to 10,5,Precautionary Landing,2000-06-08,No damage,2,DELTA AIR LINES,Florida,Climb,,False,False,"ON ROTATION, FLT 712 HIT A FLOCK OF BIRDS. RETD SAFELY. NOSE AND WNDSHLD WERE CLEANED. 98 PAX AND 5 CREW. SMELLED BURNING BIRD IN PACKS. MIGHT HAVE BEEN AN INGESTION.",Small,Some Cloud,Unknown bird - small,Y,0,10.0,0,No
204287,Airplane,LOGAN INTL,< 1000 ft,B-737-300,2 to 10,4,Precautionary Landing,2000-06-11,Caused damage,2,US AIRWAYS*,Massachusetts,Climb,,False,False,L ENG CHANGED. INGESTION. (ENG MANU REPTS NO FAN BLADE DMG),Large,Overcast,Unknown bird - large,N,211146,800.0,0,Yes
203243,Airplane,HESLER-NOBLE FIELD ARPT,< 1000 ft,LEARJET-31,2 to 10,3,Precautionary Landing,2000-06-28,Caused damage,2,BUSINESS,Mississippi,Climb,,False,False,SAW FLOCK OF 15-20 BIRDS IN TIGHT GROUPING. HIT AT LEAST 2. ONE DENTED THE L ENG NACELLE AND WAS INGESTED. SMELL OF BIRD NOTICED. FEATHERS IN ENG. ALSO FEATHERS ON LF MAIN GEAR. GARRETT COMING TO INSPECT DMG.,Medium,No Cloud,Unknown bird - medium,N,0,100.0,0,No
201335,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,C-402,2 to 10,6,Aborted Take-off,2000-06-30,No damage,2,CAPE AIR,Florida,Take-off run,,False,False,2 BIRDS HIT LE L WING. RETD TO APROM TO INSPCT A/C. TIME LOST ABOUT 30 MINS.,Small,Some Cloud,Killdeer,Y,0,0.0,0,No
205312,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,SAAB-340,2 to 10,4,Aborted Take-off,2000-07-21,No damage,2,AMERICAN EAGLE AIRLINES,Texas,Take-off run,,False,False,"HIT 1 OR 2. TAXIED BACK TO RAMP, INSPCTD, AND DEPTD.",Small,Some Cloud,Western meadowlark,N,0,0.0,0,No
201322,Airplane,MEMPHIS INTL,< 1000 ft,B-737-300,2 to 10,9,Aborted Take-off,2000-08-06,Caused damage,2,UNITED AIRLINES,Tennessee,Take-off run,,False,False,"MINOR DMG TO 1 COMPRESSOR BLADE, MAJOR DMG TO 2 COMPRESSOR BLADES. DMG TO INTERNAL ENG SUPPORTS. METAL PARTS FOUND ON RWY FROM THIS A/C. INGESTION CAUSED UNCONTAINED FAILURE. CREW SHUT ENG DOWN DUE TO VIBRATION DURING TAXI. 5 BADLY BENT FAN BLADES. SECTIO",Small,Some Cloud,Rock pigeon,N,0,0.0,0,Yes
202199,Airplane,PANAMA CITY - BAY COUNTY INTL,< 1000 ft,SAAB-340,2 to 10,10,Aborted Take-off,2000-08-08,Caused damage,2,PINNACLE,Florida,Take-off run,,False,False,BIRD FOUND IN COMPRESSOR. INGESTION. ENG DAMAGED,Small,No Cloud,Mourning dove,N,0,0.0,0,No
201896,Airplane,RALEIGH-DURHAM INTL,< 1000 ft,B-727-200,2 to 10,10,Aborted Take-off,2000-08-10,No damage,3,AMERICAN AIRLINES,North Carolina,Take-off run,,False,False,INITIAL VISUAL INSPN SHOWS NO DMG,Large,Some Cloud,Canada goose,N,0,0.0,0,No
204415,Airplane,PALM BEACH INTL,< 1000 ft,BE-1900,2 to 10,6,Precautionary Landing,2000-08-21,No damage,2,BUSINESS,Florida,Take-off run,,False,False,SML BLACK BIRD. NO DMG.,Small,Some Cloud,Unknown bird - small,Y,0,0.0,0,No
204521,Airplane,PHILADELPHIA INTL,< 1000 ft,B-747-1/200,2 to 10,2,Aborted Take-off,2000-08-23,Caused damage,4,EVERGREEN INTL AIRLINES,Pennsylvania,Take-off run,,False,False,HIGH ENERGY REJECTED T/O FROM INGESTION RESULTED IN 9 FLAT TIRES AFTER FUSE PLUGS FLEW FROM OVERHEATING. NUMEROUS SIGHTINGS BY CREWS OF FLOCK OF GEESE FEEDING IN MEDIANS BTWN TWY AND RWYS. ARFF RESPONDED. A/C WAS TOWED TO RAMP. THE ENG WAS PRETTY MUCH A L,Large,Overcast,Canada goose,Y,0,0.0,0,No
200375,Airplane,BLOOMINGTON/NORMAL,< 1000 ft,SAAB-340,2 to 10,8,Aborted Take-off,2000-08-23,No damage,2,MESABA AIRLINES,Illinois,Take-off run,,False,False,"DMG UNKN, NEED TO INSPCT. BORESCOPED. POWER INTERRUPTION JUST AFTER INGESTION. CLEANED DEBRIS.",Small,Some Cloud,Mourning dove,Y,0,0.0,0,No
201570,Airplane,NASHVILLE INTL,< 1000 ft,BA-31 JETSTR,2 to 10,7,Aborted Take-off,2000-09-07,No damage,2,CCAIR,Tennessee,Take-off run,,False,False,ON & BESIDE RWY. WENT BACK TO GATE FOR INSPN OF A/C.,Small,Overcast,American robin,N,0,0.0,0,No
204695,Airplane,ORLANDO INTL,< 1000 ft,B-737-200,2 to 10,2,Precautionary Landing,2000-09-26,No damage,2,DELTA AIR LINES,Florida,Take-off run,,False,False,SML BLACK BIRDS. IMMEDIATELY AFTER VI CALL OUT. IMMED SMELL OF DEAD BIRD. NO CHANGES IN A/C PERFORMANCE. CIRCLED TO LAND UNEVENTFULLY.,Small,Some Cloud,Unknown bird - small,Y,0,0.0,0,Yes
208027,Airplane,ALBANY INTL,< 1000 ft,B-737-700,2 to 10,5,Precautionary Landing,2000-10-15,Caused damage,2,SOUTHWEST AIRLINES,New York,Take-off run,,False,False,"INGESTION. FLT 1000. CAPT ALLEGES AT ROTATION ABOUT 5-9 GULLS FLEW UP AND 2-3 WERE HIT.  BIRDS INGESTED IN BOTH ENGS. BOTH DISPATCH & MX RECOMMENDED A RETURN TO ALB. A/C GROUNDED OVERNIGHT AND TOOK OFF AFTER BEING CHECKED OUT, TO A MAINT AREA FOR FURTHER",Medium,No Cloud,Herring gull,N,0,0.0,0,Yes
206675,Airplane,SACRAMENTO INTL,< 1000 ft,C-208,2 to 10,2,Precautionary Landing,2000-10-24,No damage,1,BUSINESS,California,Climb,,False,False,"BIRDS HAD BLACK WING, WHITE BELLY. HIT 3 OF 7 BIG BIRD DIRECTLY INTO PROP. APPEARS TO BE NO DMG. 30 MINUTES OUT OF SERVICE. ASSUME SNOW GEESE FROM DESCRIPTION.",Large,No Cloud,Snow goose,N,0,1000.0,0,No
203497,Airplane,PEASE INTL TRADEPORT,< 1000 ft,BA-31 JETSTR,2 to 10,8,Precautionary Landing,2000-11-01,No damage,2,BUSINESS,New Hampshire,Take-off run,,False,False,HIT #2 ENG COWL. 3 BIRDS HIT. NO BIRDS FOUND ON RWY SWEEP. BIRD ID BY WS BIOL,Small,Some Cloud,American kestrel,Y,0,0.0,0,No
208033,Airplane,MINNEAPOLIS-ST PAUL INTL,> 1000 ft,SAAB-340,2 to 10,3,Precautionary Landing,2000-11-13,Caused damage,2,MESABA AIRLINES,Minnesota,Climb,Snow,False,False,"JUST ENTERING CLOUD BASES, STRUCK UNKN # OF BIRDS, LIKELY GEESE. ONE HIT CAPT WINDSHLD, BENDING WIPER OUT OF POSITION. F/O FLEW RET TO ARPT. LANDING LITE BROKEN. STRIKES ON R WNG OTBD OF ENG AND UNDERSIDE OF A/C.",Large,Overcast,Unknown bird - large,N,0,1800.0,0,No
202477,Airplane,PALM BEACH INTL,< 1000 ft,B-767-300,2 to 10,4,Precautionary Landing,2000-11-16,Caused damage,2,DELTA AIR LINES,Florida,Climb,,False,False,"ATIS WARNING.JUST AFTER LIFTOFF, HIT LRG FLOCK OF VERY LRG BIRDS. FELT VIBRATION. CLIMBED TO 3000 FT AND REDUCED L ENG TO IDLE. DECLARED EMERG.  EXTENSIVE DMG TO FAN BLADES & ACCOUSTIC LINING. ENG CONTD RUNNING AT IDLE UNTIL LDG.",Large,No Cloud,Turkey vulture,Y,0,400.0,0,Yes
208354,Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-757-200,2 to 10,8,Aborted Take-off,2000-12-01,No damage,2,NATIONAL AIRLINES,New York,Take-off run,,False,False,FLT 14. BLOOD STAINS ON RADOME AND L FUSELAGE. FOUND 1 CARCASS ON RWY. BIRD ID BY WILDLF BIOL.,Small,No Cloud,Snow bunting,N,0,0.0,0,Yes
205109,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,5,Precautionary Landing,2000-12-13,Caused damage,2,COMAIR AIRLINES,Kentucky,Climb,Rain,False,False,DMG TO NOSE GEAR. FLT 957,Medium,Overcast,Unknown bird - medium,N,0,400.0,0,No
207692,Airplane,MIAMI INTL,< 1000 ft,B-757-200,2 to 10,2,Engine Shut Down,2001-01-05,Caused damage,2,AVIANCA,Florida,Climb,,False,False,ATIS WARNING. ENCOUNTERED AT LEAST 20 CIRCLING VULTURES. 2 FIRST STAGE COMPRESSOR BLADES BENT AND REMAINS SCATTERED THRUOUT THE ENG INTAKE AND NACELLE. ENG CONTD TO OPERATE AT IDLE SPEED. PRECAUTIONARY LDG.,Large,Some Cloud,Turkey vulture,Y,1431761,100.0,0,Yes
209401,Airplane,TROY MUNICIPAL ARPT,< 1000 ft,LEARJET-60,2 to 10,3,Other,2001-01-14,Caused damage,2,BUSINESS,Alabama,Landing Roll,,False,False,"HIT 2 DEER AND RAN OFF RWY. THRUST REVERSERS WERE NOT WORKING. PLANE WENT INTO A DITCH, BURST INTO FLAMES AND WAS DESTROYED. PILOT AND PAX WERE CRITICALLY INJURED: 2 BREAKS OF THE PELVIC BONE, 4 FRACTURED VERTEBRAE, CRUSHED RIGHT HIP, RT LEG PULLED FROM S",Large,No Cloud,White-tailed deer,N,12397751,0.0,2,No
209544,Airplane,METRO OAKLAND INTL,> 1000 ft,B-737-400,2 to 10,5,Precautionary Landing,2001-03-06,Caused damage,2,ALASKA AIRLINES,California,Climb,Rain,False,False,"RETD TO ARPT AFTER REPORTING A BIRDSTRIKE SHORTLY AFTER DEPTR. NO DMG REPTD. FLT 354. (DATA ENTRY NOTE: 5200-7 FROM OPS SUPV SHOWS #2 ENG DAMAGE).  OCCURRED ""MID BAY"" MINOR DMG TO #2 ENGINE ROTORS/STATORS ALIGNMENT. NEGLIGABLE COST.",Medium,Some Cloud,Unknown bird - medium,Y,0,8000.0,0,Yes
205481,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,A-319,2 to 10,2,Precautionary Landing,2001-03-09,Caused damage,2,US AIRWAYS*,North Carolina,Take-off run,,False,False,HIT BIRD ON ROTATION.FLT 110. (DATA ENTRY NOTE: 1 REPT SHOWS 1 GULL SEEN/STRUCK THE OTHER SHOWS 2-10 SEEN/STRUCK) DAMAGED 6 FAN BLADES.,Medium,Some Cloud,Ring-billed gull,N,0,0.0,0,No
206608,Airplane,ATLANTA INTL,< 1000 ft,A-320,2 to 10,9,Precautionary Landing,2001-04-13,Caused damage,2,AMERICA WEST AIRLINES,Georgia,Take-off run,Rain,False,False,POSSIBLE STARLINGS. 2 BIRDS WERE INGESTED INTO #1 ENG.,Medium,Some Cloud,Unknown bird - medium,N,0,0.0,0,No
208857,Airplane,INDIANAPOLIS INTL,< 1000 ft,B-737-200,2 to 10,2,Precautionary Landing,2001-04-29,No damage,2,DELTA AIR LINES,Indiana,Climb,,False,False,FLT 2308. NO DMG. INSPN COST $500-1000.,Small,No Cloud,Red-winged blackbird,N,976,10.0,0,Yes
211775,Airplane,SAN DIEGO INTL,< 1000 ft,A-319,2 to 10,8,Precautionary Landing,2001-05-03,Caused damage,2,US AIRWAYS*,California,Climb,,False,False,BELIEVED TO BE WESTERN GULLS. ENG RAN ROUGH AFTER INGESTION. VIBRATION & EXCESSIVE NOISE. EMERGENCY DECLARED. 4 BENT FAN BLADES. 8 FAN BLADES REPLACED.  LANDING UNEVENTFUL.,Medium,No Cloud,Western gull,N,162481,700.0,0,No
210055,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,2 to 10,10,Precautionary Landing,2001-06-03,No damage,2,SKYWEST AIRLINES,Utah,Climb,,False,False,HIT 2 CROWS ABOUT 200 FT OFF END OF RWY. NO DMG.,Medium,Overcast,American crow,N,0,200.0,0,No
205386,Airplane,ORLANDO INTL,< 1000 ft,B-737-200,2 to 10,2,Aborted Take-off,2001-06-13,Caused damage,2,US AIRWAYS*,Florida,Take-off run,,True,False,"FLT 2712 ABTD T/O BELIEVING THEY HAD A BLOWN TIRE. TAXIED TO RAMP. FAN BLADE FAILURE. INGESTION IN BOTH ENGS. ALTHOUGH TWO ENGS REPTD DAMAGED, CALL TO P&W SHOWED ONLY 1 ENG HAD DAMAGE.  ENG WAS REMOVED, BUT NOT BECAUSE OF BIRD STRIKE (C-9 DISK LIFE). FOUN",Small,Some Cloud,Mourning dove,Y,19524,0.0,0,Yes
209578,Airplane,GOLDEN TRIANGLE REGIONAL,< 1000 ft,SAAB-340,2 to 10,10,Aborted Take-off,2001-07-14,No damage,2,PINNACLE,Mississippi,Take-off run,,False,False,WENT THRU A FLOCK AT 50 KTS THEN ANOTHER ONE AT 90 KTS. HEARD 2 SEPARATE STRIKES. RETD TO GATE. NO EVIDENCE FOUND.,Small,No Cloud,Unknown bird - small,N,0,0.0,0,No
208038,Airplane,PORT COLUMBUS INTL,< 1000 ft,C-560,2 to 10,4,Aborted Take-off,2001-07-24,No damage,2,EXECUTIVE JET AVIATION,Ohio,Take-off run,,False,False,PIREP OF STRIKE. RETD TO RAMP NO DMG REPTD. 3 DOVES RECOVERED BY OPS.,Small,Some Cloud,Mourning dove,Y,0,0.0,0,No
209838,Airplane,PHILADELPHIA INTL,< 1000 ft,B-737-400,2 to 10,7,Other,2001-08-13,No damage,2,US AIRWAYS*,Pennsylvania,Landing Roll,Rain,False,False,FOG. PREVIOUS ARRIVAL REPTD BIRDS ON RWY. ATC ADZFLT 2178 OF THIS. NO DMG. TIME OUT OF SVC 15 MINS. DATA ENTRY NOTE: TIMES DIFFER ON THE TWO REPTS BY 1 HR. OTHERWISE ALL IS THE SAME.),Medium,Overcast,Ring-billed gull,Y,0,0.0,0,Yes
207184,Airplane,LITTLE RIVER ARPT,< 1000 ft,LOCKHEED C-130,2 to 10,2,Precautionary Landing,2001-08-17,No damage,4,GOVERNMENT,California,Approach,,False,False,SPARROW TYPE BIRDS. HIT 3 OUT OF A FLOCK OF 10-15.,Small,No Cloud,Unknown bird - small,N,0,10.0,0,No
209932,Airplane,COBB COUNTY ARPT-MC COLLUM FIELD,< 1000 ft,C-560,2 to 10,10,Aborted Take-off,2001-08-28,Caused damage,2,BUSINESS,Georgia,Take-off run,,False,False,MINOR DENTS ON LE RT WING.,Large,Some Cloud,Canada goose,N,0,0.0,0,No
207681,Airplane,GREATER PITTSBURGH,< 1000 ft,B-737-200,2 to 10,4,Aborted Take-off,2001-08-29,No damage,2,UNITED AIRLINES,Pennsylvania,Take-off run,,False,False,"INGESTION OF MULTIPLE BIRDS IN BOTH ENGS. INSPN. NO DMG. (DATA ENTRY NOTE: 5200-7 ONLY SHOWED BIRDS HIT WINDSHLD, BUT SAID STILL INSPCTG A/C FOR DMG.)",Medium,No Cloud,Unknown bird - medium,N,0,0.0,0,Yes
210690,Airplane,RALPH WIEN MEMORIAL ARPT,< 1000 ft,PA-31 NAVAJO,2 to 10,6,Precautionary Landing,2001-09-04,No damage,2,BERING AIR,Alaska,Climb,,False,False,NO DMG.,Medium,Some Cloud,Mallard,N,0,250.0,0,No
207429,Airplane,BURKE LAKEFRONT,< 1000 ft,PA-28,2 to 10,2,Aborted Take-off,2001-09-07,Caused damage,1,PRIVATELY OWNED,Ohio,Take-off run,,False,False,"HIT RT WING, NO DMG. HIT L WING DENTED LEADING EDGE. THUNDERSTROM ABOUT 1 HR PREVIOUS, SOME PUDDLES PRESENT.",Medium,Some Cloud,Herring gull,Y,0,0.0,0,No
207937,Airplane,NORFOLK INTL,< 1000 ft,DHC8 DASH 8,2 to 10,5,Aborted Take-off,2001-09-10,Caused damage,2,US AIRWAYS*,Virginia,Take-off run,,False,False,#2 PROP HAS SMALL DENTS.,Large,No Cloud,Canada goose,N,0,0.0,0,No
211103,Airplane,AUSTIN STRAUBEL INTL,< 1000 ft,CL-RJ100/200,2 to 10,5,Precautionary Landing,2001-09-25,No damage,2,COMAIR AIRLINES,Wisconsin,Take-off run,,False,False,RT WING AND WINLET HIT. NO DMG. L MAIN GEAR STRUCK.,Small,Some Cloud,Killdeer,N,0,0.0,0,No
211721,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-320,2 to 10,8,Aborted Take-off,2001-09-29,No damage,2,TACA INTL AIRLINES,New York,Take-off run,,False,False,TWO BIRDS RECOVERED. BLOOD SMEARS ON #2 ENG COWLING AND IN ENG. NO VIZ DMG. FLT 571.,Medium,Some Cloud,Herring gull,Y,0,0.0,0,No
206213,Airplane,KODIAK AIRPORT,< 1000 ft,B-737-200,2 to 10,9,Precautionary Landing,2001-09-30,Caused damage,2,ALASKA AIRLINES,Alaska,Climb,,False,False,2 EAGLES HIT ENG. INGESTION OF 1. OTHER BOUNCED OFF ENG COWL. F/A REPTD FIRE AND SMOKE OUT OF TAIL PIPE. ASSUME BALD FROM LOCATION,Large,No Cloud,Bald eagle,N,0,50.0,0,Yes
210104,Airplane,LOGAN INTL,< 1000 ft,B-737-200,2 to 10,4,Aborted Take-off,2001-10-04,No damage,2,DELTA AIR LINES,Massachusetts,Take-off run,,False,False,HIT 4 BIRDS. 1 WAS A PALM WARBLER THE OTHER WAS A BLACK BELLIED PLOVER.  2 BIRDS FOUND.,Small,No Cloud,Black-bellied plover,Y,0,0.0,0,Yes
206531,Airplane,BRACKETT FIELD ARPT,< 1000 ft,RKWL SHRIKE,2 to 10,5,Aborted Take-off,2001-10-12,No damage,2,PRIVATELY OWNED,California,Take-off run,,False,False,HIT 3 BIRDS. NO DMG REPTD. ATIS WARNING.,Small,Some Cloud,Unknown bird - small,Y,0,0.0,0,No
210162,Airplane,NAPA COUNTY ARPT,< 1000 ft,HAWKER 1000,2 to 10,6,Precautionary Landing,2001-10-16,Caused damage,2,EXECUTIVE JET AVIATION,California,Take-off run,,False,False,FLT 515. INGESTION. HIT SEVERAL GULLS IN BOTH ENGS. BOTH ENGS DAMAGED.,Medium,Overcast,Unknown bird - medium,N,0,0.0,0,No
212070,Airplane,LOGAN INTL,< 1000 ft,B-737-200,2 to 10,9,Other,2001-11-14,No damage,2,DELTA AIR LINES,Massachusetts,Take-off run,,False,False,DELAYED ROTATION TO PREVENT POSSIBLE INGESTION INTO ENGS. RWY WAS CLOSED UNTIL 0823.,Small,No Cloud,Unknown bird - small,N,0,0.0,0,Yes
212202,Airplane,LOGAN INTL,< 1000 ft,EMB-135,2 to 10,6,Aborted Take-off,2001-11-18,No damage,2,AMERICAN EAGLE AIRLINES,Massachusetts,Take-off run,,False,False,"FLT 747 HIT SEVERAL SML BIRDS AND TAXIED BACK TO GATE. NO DMG REPTD. MASSPORT REPTD THEM AS SNOWBIRDS. 8 FOUND. ENG 1 WAS STRUCK ON BOTTOM PART OF NACELLE. NO DMG. BOTH WINGA AND ALL LDG GEAR ASSEBMLIES WERE STRUCK. TODD FELXI, WS FOUND THEY WERE SNOW BUN",Small,No Cloud,Snow bunting,N,0,0.0,0,No
208638,Airplane,GREATER PITTSBURGH,< 1000 ft,DORNIER 328,2 to 10,10,Precautionary Landing,2001-11-27,No damage,2,PSA AIRLINES,Pennsylvania,Climb,Rain,True,False,7-8 BIRDS HIT A/C. 1 CARCASS FOUND.,Small,Overcast,Common grackle,N,0,200.0,0,No
212211,Airplane,GREATER BINGHAMTON ARPT,< 1000 ft,DHC8 DASH 8,2 to 10,2,Aborted Take-off,2001-11-28,No damage,2,ALLEGHENYAIRLINES,New York,Take-off run,,False,False,FLT 9383. INGESTION. ARFF RESPONDED. PILOT REPTD STRIKING 6 BIRDS. IT WAS A FERRY FLIGHT PART 91. RETD TO HANGER FOR INSPN.,Small,Overcast,Mourning dove,Y,0,0.0,0,No
214067,Airplane,OAKLAND/TROY ARPT,< 1000 ft,C-310,2 to 10,5,Precautionary Landing,2001-11-30,Caused damage,2,BUSINESS,Michigan,Climb,,True,False,2 GEESE FOUND ON RWY.  1 STILL ALIVE BUT INJURED. DMG TO LE OF RT WING ON A/C.,Large,Overcast,Canada goose,N,31239,200.0,0,No
206849,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-767-200,2 to 10,5,Precautionary Landing,2001-12-04,No damage,2,UPS AIRLINES,Texas,Climb,,False,False,"NORMAL FLT TO LBG FOLLOWED WITH NO PROBLEMS. PART OF FORM WAS TORN, WING MIGHT ALSO HAVE BEEN STRUCK. BIRDS APPEARED BLACK IN COLOR.",Medium,Some Cloud,Unknown bird - medium,N,0,100.0,0,Yes
207142,Airplane,SKYLARK FIELD,< 1000 ft,SAAB-340,2 to 10,3,Aborted Take-off,2001-12-14,No damage,2,AMERICAN EAGLE AIRLINES,Texas,Take-off run,,False,False,NO DMG. RETD TO GATE FOR POST FLT. FAA HAD VISITED ARPT PREVIOUS DAY TO DISCUSS THE UNUSUALLY HIGH BIRD ACTIVITY.,Small,Some Cloud,Mourning dove,N,0,0.0,0,No
